Driver             ,1      ,2      ,3      ,4      ,5      ,6      ,7      ,8      ,9     ,10     ,11     ,12     ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21
Lewis Hamilton     ,52.381 ,53.333 ,64.962 ,74.921 ,79.817 ,85.924 ,90.434 ,93.778 ,96.22 ,98.184 ,99.375 ,99.804 ,99.97 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0
Valtteri Bottas    ,19.048 ,16.19  ,12.782 ,10.944 ,7.991  ,6.28   ,4.471  ,3.031  ,1.882 ,1.084  ,0.509  ,0.196  ,0.03  ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Max Verstappen     ,14.286 ,21.905 ,13.534 ,10.309 ,9.627  ,6.713  ,4.581  ,3.091  ,1.888 ,0.732  ,0.116  ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Charles Leclerc    ,9.524  ,2.857  ,4.662  ,1.637  ,1.322  ,0.439  ,0.227  ,0.038  ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Sebastian Vettel   ,4.762  ,5.714  ,4.06   ,2.189  ,1.243  ,0.643  ,0.286  ,0.063  ,0.01  ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Carlos Sainz       ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Pierre Gasly       ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Alex Albon         ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Daniel Ricciardo   ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Sergio Perez       ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Lando Norris       ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Kimi Raikkonen     ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Daniil Kvyat       ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Nico Hulkenberg    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Lance Stroll       ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Kevin Magnussen    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Antonio Giovinazzi ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Romain Grosjean    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
Robert Kubica      ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
George Russell     ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0   ,0.0    ,0.0    ,0.0    ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0
