Final Standing ,Name               ,1  ,2  ,3  ,4  ,5  ,6  ,7  ,8  ,9  ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,Final Points
1              ,Lewis Hamilton     ,18 ,25 ,25 ,18 ,26 ,25 ,25 ,25 ,10 ,26 ,2  ,25 ,18 ,16 ,12 ,26 ,16 ,25 ,18 ,6  ,26 ,413
2              ,Valtteri Bottas    ,26 ,18 ,18 ,25 ,18 ,15 ,13 ,18 ,15 ,18 ,0  ,4  ,15 ,18 ,10 ,18 ,25 ,15 ,25 ,0  ,12 ,326
3              ,Max Verstappen     ,15 ,12 ,12 ,12 ,15 ,12 ,10 ,12 ,26 ,10 ,26 ,19 ,0  ,4  ,15 ,12 ,0  ,8  ,15 ,25 ,18 ,278
4              ,Charles Leclerc    ,10 ,16 ,10 ,11 ,10 ,0  ,15 ,15 ,18 ,15 ,0  ,12 ,25 ,25 ,18 ,15 ,8  ,13 ,13 ,0  ,15 ,264
5              ,Sebastian Vettel   ,12 ,10 ,15 ,15 ,12 ,18 ,18 ,11 ,12 ,0  ,18 ,15 ,13 ,0  ,25 ,0  ,18 ,18 ,0  ,0  ,10 ,240
6              ,Carlos Sainz       ,0  ,0  ,0  ,6  ,4  ,8  ,0  ,8  ,4  ,8  ,10 ,10 ,0  ,0  ,0  ,8  ,10 ,0  ,4  ,15 ,1  ,96
7              ,Pierre Gasly       ,0  ,4  ,9  ,0  ,8  ,11 ,4  ,1  ,6  ,12 ,0  ,8  ,2  ,0  ,4  ,0  ,6  ,2  ,0  ,18 ,0  ,95
8              ,Alex Albon         ,0  ,2  ,1  ,0  ,0  ,4  ,0  ,0  ,0  ,0  ,8  ,1  ,10 ,8  ,8  ,10 ,12 ,10 ,10 ,0  ,8  ,92
9              ,Daniel Ricciardo   ,0  ,0  ,6  ,0  ,0  ,2  ,8  ,0  ,0  ,6  ,0  ,0  ,0  ,12 ,0  ,0  ,0  ,4  ,8  ,8  ,0  ,54
10             ,Sergio Perez       ,0  ,1  ,4  ,8  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,8  ,6  ,0  ,6  ,4  ,6  ,1  ,2  ,6  ,52
11             ,Lando Norris       ,0  ,8  ,0  ,4  ,0  ,0  ,0  ,2  ,8  ,0  ,0  ,2  ,0  ,1  ,6  ,4  ,0  ,0  ,6  ,4  ,4  ,49
12             ,Kimi Raikkonen     ,4  ,6  ,2  ,1  ,0  ,0  ,0  ,6  ,2  ,4  ,0  ,6  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,12 ,0  ,43
13             ,Daniil Kvyat       ,6  ,0  ,0  ,0  ,0  ,0  ,6  ,4  ,0  ,1  ,0  ,0  ,4  ,10 ,2  ,1  ,0  ,1  ,2  ,0  ,0  ,37
14             ,Nico Hulkenberg    ,1  ,0  ,0  ,0  ,2  ,6  ,1  ,0  ,0  ,2  ,15 ,0  ,6  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,2  ,37
15             ,Lance Stroll       ,2  ,0  ,0  ,2  ,0  ,0  ,2  ,0  ,0  ,0  ,12 ,0  ,1  ,0  ,0  ,0  ,2  ,0  ,0  ,0  ,0  ,21
16             ,Kevin Magnussen    ,8  ,0  ,0  ,0  ,6  ,0  ,0  ,0  ,0  ,0  ,4  ,0  ,0  ,0  ,0  ,2  ,0  ,0  ,0  ,0  ,0  ,20
17             ,Antonio Giovinazzi ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,2  ,1  ,0  ,0  ,0  ,0  ,10 ,0  ,14
18             ,Romain Grosjean    ,0  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,6  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,8
19             ,Robert Kubica      ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1
20             ,George Russell     ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
