Final Standing ,Driver             ,1  ,2  ,3  ,4  ,5  ,6  ,7  ,8  ,9  ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,Final Points
1              ,Lewis Hamilton     ,12 ,25 ,26 ,25 ,19 ,25 ,25 ,7  ,26 ,15 ,25 ,26 ,26 ,25 ,25 ,0  ,15 ,347
2              ,Valtteri Bottas    ,25 ,18 ,15 ,0  ,15 ,16 ,18 ,10 ,18 ,26 ,0  ,18 ,18 ,0  ,4  ,4  ,18 ,223
3              ,Max Verstappen     ,0  ,15 ,18 ,19 ,25 ,18 ,15 ,0  ,0  ,18 ,19 ,15 ,0  ,8  ,19 ,0  ,25 ,214
4              ,Sergio Perez       ,8  ,8  ,6  ,0  ,0  ,10 ,1  ,1  ,10 ,12 ,12 ,6  ,8  ,18 ,0  ,25 ,0  ,125
5              ,Daniel Riccardo    ,0  ,4  ,4  ,12 ,0  ,0  ,13 ,8  ,12 ,10 ,15 ,2  ,15 ,1  ,6  ,10 ,7  ,119
6              ,Carlos Sainz       ,10 ,3  ,2  ,0  ,0  ,8  ,0  ,18 ,0  ,0  ,10 ,8  ,6  ,10 ,10 ,12 ,8  ,105
7              ,Alexander Albon    ,0  ,12 ,10 ,4  ,10 ,4  ,8  ,0  ,15 ,1  ,0  ,0  ,0  ,6  ,15 ,8  ,12 ,105
8              ,Charles Leclerc    ,18 ,0  ,0  ,15 ,12 ,0  ,0  ,0  ,4  ,8  ,6  ,12 ,10 ,12 ,1  ,0  ,0  ,98
9              ,Lando Norris       ,16 ,10 ,0  ,10 ,2  ,1  ,6  ,12 ,8  ,0  ,0  ,0  ,4  ,5  ,12 ,1  ,10 ,97
10             ,Pierre Gasly       ,6  ,0  ,0  ,6  ,0  ,2  ,4  ,25 ,0  ,2  ,8  ,10 ,0  ,0  ,8  ,0  ,4  ,75
11             ,Lance Stroll       ,0  ,6  ,12 ,2  ,8  ,12 ,2  ,15 ,0  ,0  ,0  ,0  ,0  ,2  ,0  ,15 ,0  ,74
12             ,Esteban Ocon       ,4  ,0  ,0  ,8  ,4  ,0  ,10 ,4  ,0  ,6  ,0  ,4  ,0  ,0  ,2  ,18 ,2  ,62
13             ,Sebastian Vettel   ,1  ,0  ,8  ,1  ,0  ,6  ,0  ,0  ,1  ,0  ,0  ,1  ,0  ,15 ,0  ,0  ,0  ,33
14             ,Daniil Kvyat       ,0  ,1  ,0  ,0  ,1  ,0  ,0  ,2  ,6  ,4  ,0  ,0  ,12 ,0  ,0  ,6  ,0  ,32
15             ,Nico Hulkenberg    ,0  ,0  ,0  ,0  ,6  ,0  ,0  ,0  ,0  ,0  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,10
16             ,Kimi Raikkonen     ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,0  ,0  ,0  ,2  ,0  ,0  ,0  ,0  ,4
17             ,Antonio Giovinazzi ,2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,1  ,0  ,0  ,0  ,0  ,4
18             ,George Russell     ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,3  ,0  ,3
19             ,Romain Grosjean    ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,0  ,0  ,0  ,0  ,0  ,0  ,2
20             ,Kevin Magnussen    ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1
21             ,Nicolas Latifi     ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
22             ,Jack Aitken        ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
23             ,Pietro Fittipaldi  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0
