Final Standing ,Name               ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Final Points
1,Max Verstappen,18,25,18,19,25,0,26,25,26,3,2,12.5,25,2,18,18,25,25,20,19,18,26,395.5
2,Lewis Hamilton,25,19,25,25,7,0,18,19,12,27,18,7.5,19,0,25,10,19,18,25,25,26,18,387.5
3,Valtteri Bottas,16,0,16,15,0,0,12,15,18,16,0,0,15,18,10,26,8,0,18,0,15,8,226
4,Sergio Perez,10,0,12,10,12,25,15,12,8,0,0,0,4,10,2,15,15,15,13,12,0,0,190
5,Carlos Sainz,4,10,0,6,18,4,0,8,10,8,15,0.5,6,8,15,4,6,8,9,6,4,15,164.5
6,Lando Norris,12,15,10,4,15,10,10,10,15,12,0,0,1,18,7,6,4,1,1,2,1,6,160
7,Charles Leclerc,8,12,8,12,0,12,0,6,4,18,0,2,10,12,0,12,12,10,10,4,6,1,159
8,Daniel Ricciardo,6,8,2,8,0,2,8,0,6,10,0,6,0,27,12,0,10,0,0,0,10,0,115
9,Pierre Gasly,0,6,1,1,8,15,6,0,2,0,11,4,12,0,0,8,0,12,6,0,8,10,110
10,Fernando Alonso,0,1,4,0,0,8,4,2,1,6,12,0,8,4,8,0,0,2,2,15,0,4,81
11,Esteban Ocon,0,2,6,2,2,0,0,0,0,2,25,3,2,1,0,1,0,0,4,10,12,2,74
12,Sebastian Vettel,0,0,0,0,10,18,2,0,0,0,0,5,0,0,0,0,1,6,0,1,0,0,43
13,Lance Stroll,1,4,0,0,4,0,1,4,0,4,0,0,0,6,0,2,0,0,0,8,0,0,34
14,Yuki Tsunoda,2,0,0,0,0,6,0,1,0,1,8,0,0,0,0,0,2,0,0,0,0,12,32
15,George Russell,0,0,0,0,0,0,0,0,0,0,4,9,0,2,1,0,0,0,0,0,0,0,16
16,Kimi Raikkonen,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,10
17,Nicolas Latifi,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,7
18,Antonio Giovinazzi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
19,Mick Schumacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Robert Kubica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Nikita Mazepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
